model,variant,overall_em,tabular_em,timeseries_em,graph_em
claude,concise,0.22917530045586407,0.26952789699570817,0.14222222222222222,0.31896551724137934
claude,cot,0.19229175300455864,0.24721030042918454,0.12,0.19540229885057472
claude,detailed,0.23622047244094488,0.2721030042918455,0.1511111111111111,0.33620689655172414
claude,minimal,0.19353501864898467,0.2369098712446352,0.11444444444444445,0.25287356321839083
gemini,concise,0.3638624119353502,0.41802575107296136,0.2777777777777778,0.4051724137931034
gemini,cot,0.258184832159138,0.2875536480686695,0.17666666666666667,0.3706896551724138
gemini,detailed,0.36179030252797345,0.41802575107296136,0.28,0.3850574712643678
gemini,minimal,0.22130128470783259,0.2592274678111588,0.16444444444444445,0.2413793103448276
gpt4o,concise,0.23580605055946954,0.2686695278969957,0.14555555555555555,0.35919540229885055
gpt4o,cot,0.21964359718193122,0.2609442060085837,0.14,0.28735632183908044
gpt4o,detailed,0.35391628677994197,0.4188841201716738,0.2288888888888889,0.45977011494252873
gpt4o,minimal,0.19270617488603398,0.22832618025751072,0.12333333333333334,0.25287356321839083
qwen,concise,0.340654786572731,0.37510729613733906,0.27444444444444444,0.39655172413793105
qwen,cot,0.19477828429341068,0.22832618025751072,0.1322222222222222,0.2442528735632184
qwen,detailed,0.3244923331951927,0.35965665236051503,0.26666666666666666,0.3563218390804598
qwen,minimal,0.19229175300455864,0.23605150214592274,0.12555555555555556,0.21839080459770116
