model,modality,excluded_viz,baseline_em,ablated_em,delta_em,baseline_f1,ablated_f1,delta_f1,baseline_numeric,ablated_numeric,delta_numeric,remaining_rows
gpt4o,tabular,bar_chart,0.41405099150141644,0.4606232294617564,0.046572237960339935,0.3555443832214368,0.3889772212364279,0.03343283801499114,0.13937677053824363,0.16147308781869688,0.022096317280453248,16550
gpt4o,tabular,heatmap,0.41405099150141644,0.4084985835694051,-0.005552407932011338,0.3555443832214368,0.35512453001829775,-0.0004198532031390312,0.13937677053824363,0.12223796033994334,-0.017138810198300283,16550
gpt4o,tabular,scatter_plot,0.41405099150141644,0.4586402266288952,0.044589235127478755,0.3555443832214368,0.38635682463586135,0.030812441414424574,0.13937677053824363,0.15920679886685551,0.019830028328611887,16550
gpt4o,tabular,table_image,0.41405099150141644,0.36883852691218133,-0.04521246458923511,0.3555443832214368,0.32166747951450503,-0.03387690370693175,0.13937677053824363,0.1253541076487252,-0.014022662889518422,16550
gpt4o,tabular,text_only,0.41405099150141644,0.3736543909348442,-0.04039660056657224,0.3555443832214368,0.32559586070209295,-0.029948522519343823,0.13937677053824363,0.12861189801699716,-0.010764872521246471,16550
gpt4o,timeseries,gaf,0.2183941605839416,0.23010948905109488,0.011715328467153285,0.2274939172749392,0.23537104622871044,0.00787712895377124,0.04671532846715328,0.05656934306569343,0.00985401459854015,16945
gpt4o,timeseries,heatmap,0.2183941605839416,0.22682481751824818,0.008430656934306585,0.2274939172749392,0.23445863746958637,0.006964720194647167,0.04671532846715328,0.0531021897810219,0.006386861313868619,16945
gpt4o,timeseries,line_plot,0.2183941605839416,0.20401459854014597,-0.014379562043795618,0.2274939172749392,0.21094890510948905,-0.01654501216545015,0.04671532846715328,0.04051094890510949,-0.006204379562043789,16945
gpt4o,timeseries,recurrence_plot,0.2183941605839416,0.24762773722627737,0.02923357664233578,0.2274939172749392,0.25200729927007304,0.024513381995133837,0.04671532846715328,0.057846715328467156,0.011131386861313874,16945
gpt4o,timeseries,text_only,0.2183941605839416,0.18339416058394162,-0.034999999999999976,0.2274939172749392,0.20468369829683697,-0.02281021897810223,0.04671532846715328,0.025547445255474453,-0.02116788321167883,16945
gpt4o,graph,adjacency_matrix,0.43636363636363634,0.4707070707070707,0.03434343434343434,0.39621212121212124,0.4202020202020202,0.02398989898989895,0.1503787878787879,0.17777777777777778,0.027398989898989895,17655
gpt4o,graph,circular_layout,0.43636363636363634,0.4444444444444444,0.008080808080808077,0.39621212121212124,0.4106060606060606,0.014393939393939348,0.1503787878787879,0.16111111111111112,0.010732323232323232,17655
gpt4o,graph,node_link,0.43636363636363634,0.43636363636363634,0.0,0.39621212121212124,0.403030303030303,0.006818181818181779,0.1503787878787879,0.15606060606060607,0.005681818181818177,17655
gpt4o,graph,text_only,0.43636363636363634,0.3939393939393939,-0.04242424242424242,0.39621212121212124,0.351010101010101,-0.04520202020202024,0.1503787878787879,0.10656565656565657,-0.04381313131313132,17655
gemini,tabular,bar_chart,0.4236827195467422,0.4669971671388102,0.043314447592067984,0.36124601838199555,0.39043854280752294,0.02919252442552739,0.14538243626062322,0.16827195467422096,0.022889518413597737,16550
gemini,tabular,heatmap,0.4236827195467422,0.4178470254957507,-0.005835694050991491,0.36124601838199555,0.3612600725525654,1.4054170569877122e-05,0.14538243626062322,0.13045325779036826,-0.014929178470254961,16550
gemini,tabular,scatter_plot,0.4236827195467422,0.4780453257790368,0.05436260623229461,0.36124601838199555,0.40296451070176276,0.04171849231976721,0.14538243626062322,0.16090651558073654,0.015524079320113321,16550
gemini,tabular,table_image,0.4236827195467422,0.37875354107648723,-0.04492917847025496,0.36124601838199555,0.3278235562831881,-0.03342246209880745,0.14538243626062322,0.1330028328611898,-0.01237960339943342,16550
gemini,tabular,text_only,0.4236827195467422,0.37677053824362605,-0.04691218130311614,0.36124601838199555,0.3237434095649393,-0.03750260881705625,0.14538243626062322,0.13427762039660057,-0.011104815864022649,16550
gemini,timeseries,gaf,0.27153284671532846,0.2906934306569343,0.019160583941605858,0.2781021897810219,0.29315693430656936,0.015054744525547448,0.07927007299270072,0.09616788321167884,0.016897810218978113,16945
gemini,timeseries,heatmap,0.27153284671532846,0.2771897810218978,0.005656934306569328,0.2781021897810219,0.2820255474452555,0.003923357664233573,0.07927007299270072,0.09160583941605839,0.012335766423357666,16945
gemini,timeseries,line_plot,0.27153284671532846,0.2569343065693431,-0.014598540145985384,0.2781021897810219,0.2614963503649635,-0.01660583941605842,0.07927007299270072,0.04671532846715328,-0.03255474452554744,16945
gemini,timeseries,recurrence_plot,0.27153284671532846,0.29014598540145986,0.018613138686131403,0.2781021897810219,0.29224452554744523,0.01414233576642332,0.07927007299270072,0.09781021897810219,0.018540145985401463,16945
gemini,timeseries,text_only,0.27153284671532846,0.2427007299270073,-0.02883211678832115,0.2781021897810219,0.26158759124087594,-0.016514598540145975,0.07927007299270072,0.06405109489051095,-0.015218978102189779,16945
gemini,graph,adjacency_matrix,0.3931818181818182,0.41818181818181815,0.024999999999999967,0.36893939393939396,0.3893939393939394,0.020454545454545447,0.13295454545454546,0.151010101010101,0.018055555555555547,17655
gemini,graph,circular_layout,0.3931818181818182,0.4035353535353535,0.010353535353535337,0.36893939393939396,0.3813131313131313,0.01237373737373737,0.13295454545454546,0.14393939393939395,0.010984848484848486,17655
gemini,graph,node_link,0.3931818181818182,0.40505050505050505,0.011868686868686862,0.36893939393939396,0.38535353535353534,0.01641414141414138,0.13295454545454546,0.147979797979798,0.015025252525252525,17655
gemini,graph,text_only,0.3931818181818182,0.34595959595959597,-0.04722222222222222,0.36893939393939396,0.3196969696969697,-0.049242424242424254,0.13295454545454546,0.08888888888888889,-0.04406565656565657,17655
claude,tabular,bar_chart,0.30175637393767707,0.330028328611898,0.028271954674220945,0.2380619707991807,0.2526706513892873,0.014608680590106587,0.14594900849858358,0.16728045325779037,0.021331444759206786,16550
claude,tabular,heatmap,0.30175637393767707,0.29008498583569403,-0.011671388101983038,0.2380619707991807,0.2316046528208502,-0.006457317978330518,0.14594900849858358,0.12847025495750708,-0.017478753541076503,16550
claude,tabular,scatter_plot,0.30175637393767707,0.33682719546742207,0.035070821529745,0.2380619707991807,0.2604863637344367,0.02242439293525597,0.14594900849858358,0.1613314447592068,0.015382436260623217,16550
claude,tabular,table_image,0.30175637393767707,0.2658640226628895,-0.03589235127478757,0.2380619707991807,0.2134248910225945,-0.024637079776586218,0.14594900849858358,0.13470254957507083,-0.011246458923512753,16550
claude,tabular,text_only,0.30175637393767707,0.28597733711048157,-0.015779036827195503,0.2380619707991807,0.2321232950287351,-0.005938675770445601,0.14594900849858358,0.13796033994334278,-0.007988668555240802,16550
claude,timeseries,gaf,0.17547445255474453,0.18412408759124088,0.00864963503649635,0.1732241087485454,0.1778440045488205,0.004619895800275081,0.07941605839416059,0.09744525547445256,0.018029197080291964,16945
claude,timeseries,heatmap,0.17547445255474453,0.17682481751824816,0.0013503649635036308,0.1732241087485454,0.17190541362530415,-0.0013186951232412591,0.07941605839416059,0.08941605839416059,0.009999999999999995,16945
claude,timeseries,line_plot,0.17547445255474453,0.16113138686131387,-0.014343065693430662,0.1732241087485454,0.1572235665926161,-0.016000542155929304,0.07941605839416059,0.04671532846715328,-0.03270072992700731,16945
claude,timeseries,recurrence_plot,0.17547445255474453,0.19105839416058396,0.015583941605839424,0.1732241087485454,0.18449698508410028,0.011272876335554877,0.07941605839416059,0.09762773722627738,0.018211678832116787,16945
claude,timeseries,text_only,0.17547445255474453,0.16423357664233576,-0.011240875912408771,0.1732241087485454,0.17465057389188618,0.0014264651433407716,0.07941605839416059,0.06587591240875912,-0.013540145985401472,16945
claude,graph,adjacency_matrix,0.396969696969697,0.4075757575757576,0.010606060606060619,0.37617924570072436,0.3823687980526087,0.006189552351884342,0.13068181818181818,0.14444444444444443,0.013762626262626254,17655
claude,graph,circular_layout,0.396969696969697,0.403030303030303,0.006060606060606044,0.37617924570072436,0.3848717055613607,0.008692459860636326,0.13068181818181818,0.13535353535353536,0.004671717171717188,17655
claude,graph,node_link,0.396969696969697,0.4131313131313131,0.016161616161616155,0.37617924570072436,0.3960051616889723,0.019825915988247955,0.13068181818181818,0.1404040404040404,0.009722222222222215,17655
claude,graph,text_only,0.396969696969697,0.36414141414141415,-0.03282828282828282,0.37617924570072436,0.3414713174999557,-0.03470792820076868,0.13068181818181818,0.10252525252525252,-0.028156565656565657,17655
qwen,tabular,bar_chart,0.37745042492917846,0.4069405099150142,0.02949008498583572,0.3239654736198645,0.34157157290301765,0.017606099283153154,0.11784702549575071,0.13371104815864024,0.015864022662889526,16550
qwen,tabular,heatmap,0.37745042492917846,0.36756373937677056,-0.009886685552407903,0.3239654736198645,0.31931000538649257,-0.004655468233371929,0.11784702549575071,0.10212464589235128,-0.015722379603399436,16550
